DSO Name,Maßnahmen ID,Grid Type,Cities,Project Type,State,Capacity Change,Date of completion,Geo Codes
Avacon,111b,UW,Conneforde,ENB (Ersatzneubau),Planned,0,Not Specified (part of plan up to 2045),"{""Conneforde, Germany"":{""lat"":53.3253129,""lng"":8.0599501,""address"":{""formatted"":""26215 Wiefelstede-Conneforde, Germany""}}}"
Avacon,113,Line,"Göttingen, Hardegsen",ENB (Ersatzneubau),Planned,630,Not Specified (part of plan up to 2045),"{""Göttingen, Germany"":{""lat"":51.54128040000001,""lng"":9.915803499999999,""address"":{""formatted"":""37 Göttingen, Germany""}},""Hardegsen, Germany"":{""lat"":51.6480962,""lng"":9.837169200000002,""address"":{""formatted"":""37181 Hardegsen, Germany""}}}"
Avacon,116,UW,Halberstadt Ost,UW Neubau,Planned,40,Not Specified (part of plan up to 2045),"{""Halberstadt Ost, Germany"":{""lat"":51.8916475,""lng"":11.0488695,""address"":{""formatted"":""38 Halberstadt, Germany""}}}"
Avacon,118,Line,"Burg, Genthin",ENB (Ersatzneubau),Planned,681,Not Specified (part of plan up to 2045),"{""Burg, Germany"":{""lat"":52.2709013,""lng"":11.8553502,""address"":{""formatted"":""39 Burg bei Magdeburg, Germany""}},""Genthin, Germany"":{""lat"":52.4006218,""lng"":12.1601527,""address"":{""formatted"":""39 Genthin, Germany""}}}"
Avacon,123,Line,"Wasserleben, Dingelstedt",NB (Neubau),Planned,776,Not Specified (part of plan up to 2045),"{""Wasserleben, Germany"":{""lat"":51.9207542,""lng"":10.7567796,""address"":{""formatted"":""38871 Wasserleben, Germany""}},""Dingelstedt, Germany"":{""lat"":51.3155848,""lng"":10.3196967,""address"":{""formatted"":""Dingelstädt, Germany""}}}"
Avacon,124,UW,Dingelstedt,NB (Neubau),Planned,126,Not Specified (part of plan up to 2045),"{""Dingelstedt, Germany"":{""lat"":51.3155848,""lng"":10.3196967,""address"":{""formatted"":""Dingelstädt, Germany""}}}"
Avacon,126/131,Line,"Kunrau, Jeeben, Leetze, Tylsen",NB (Neubau),Planned,225,Not Specified (part of plan up to 2045),"{""Kunrau, Germany"":{""lat"":52.5658808,""lng"":11.0204064,""address"":{""formatted"":""38486 Klötze-Kunrau, Germany""}},""Jeeben, Germany"":{""lat"":52.6817437,""lng"":11.0908401,""address"":{""formatted"":""38489 Beetzendorf-Jeeben, Germany""}},""Leetze, Germany"":{""lat"":51.165691,""lng"":10.451526,""address"":{""formatted"":""Germany""}},""Tylsen, Germany"":{""lat"":52.8164846,""lng"":11.0329589,""address"":{""formatted"":""29410 Salzwedel-Tylsen, Germany""}}}"
Avacon,126a,UW,Kunrau,UW Ausbau,Planned,0,Not Specified (part of plan up to 2045),"{""Kunrau, Germany"":{""lat"":52.5658808,""lng"":11.0204064,""address"":{""formatted"":""38486 Klötze-Kunrau, Germany""}}}"
Avacon,126b,UW,Jeeben,UW Ausbau,Planned,40,Not Specified (part of plan up to 2045),"{""Jeeben, Germany"":{""lat"":52.6817437,""lng"":11.0908401,""address"":{""formatted"":""38489 Beetzendorf-Jeeben, Germany""}}}"
Avacon,126c,UW,Leetze,UW Ausbau,Planned,40,Not Specified (part of plan up to 2045),"{""Leetze, Germany"":{""lat"":51.165691,""lng"":10.451526,""address"":{""formatted"":""Germany""}}}"
